name,id,rating,price,stock,image,details,genre
Murder at the 42nd Street Library (Raymond Ambler #1),45,4,54.36,5,http://books.toscrape.com/../media/cache/c3/8d/c38d65cd155b67ca025f0655bd1bb095.jpg,http://books.toscrape.com/catalogue/../murder-at-the-42nd-street-library-raymond-ambler-1_624/index.html,Mystery
Most Wanted,46,3,35.28,5,http://books.toscrape.com/../media/cache/8b/bc/8bbc5ab4c3784b4d9b93eb0fd1fb6fd6.jpg,http://books.toscrape.com/catalogue/../most-wanted_623/index.html,Mystery
Hide Away (Eve Duncan #20),47,1,11.84,5,http://books.toscrape.com/../media/cache/57/07/5707c3d5d4fd44d943d51730ba7d429a.jpg,http://books.toscrape.com/catalogue/../hide-away-eve-duncan-20_620/index.html,Mystery
Boar Island (Anna Pigeon #19),48,3,59.48,5,http://books.toscrape.com/../media/cache/d5/81/d58157866ea8f015a8e4c55b23b8c96f.jpg,http://books.toscrape.com/catalogue/../boar-island-anna-pigeon-19_613/index.html,Mystery
The Widow,49,2,27.26,5,http://books.toscrape.com/../media/cache/fd/71/fd71fb07247bf911505a351c0670c6dc.jpg,http://books.toscrape.com/catalogue/../the-widow_609/index.html,Mystery
Playing with Fire,50,3,13.71,5,http://books.toscrape.com/../media/cache/90/0b/900bd2e60d56b6480a4e8eb2dddb46d6.jpg,http://books.toscrape.com/catalogue/../playing-with-fire_602/index.html,Mystery
What Happened on Beale Street (Secrets of the South Mysteries #2),51,5,25.37,5,http://books.toscrape.com/../media/cache/c7/ab/c7abb5e32bd37118a87523dcee0a70a6.jpg,http://books.toscrape.com/catalogue/../what-happened-on-beale-street-secrets-of-the-south-mysteries-2_506/index.html,Mystery
The Bachelor Girl's Guide to Murder (Herringford and Watts Mysteries #1),52,5,52.3,5,http://books.toscrape.com/../media/cache/95/d7/95d7541679fcbd579b8a4f2b47231aaf.jpg,http://books.toscrape.com/catalogue/../the-bachelor-girls-guide-to-murder-herringford-and-watts-mysteries-1_491/index.html,Mystery
Delivering the Truth (Quaker Midwife Mystery #1),53,4,20.89,5,http://books.toscrape.com/../media/cache/57/31/5731a5d46c2c1e88977eb5e6d1337a2e.jpg,http://books.toscrape.com/catalogue/../delivering-the-truth-quaker-midwife-mystery-1_464/index.html,Mystery
Tipping the Velvet,54,1,53.74,5,http://books.toscrape.com/../media/cache/26/0c/260c6ae16bce31c8f8c95daddd9f4a1c.jpg,http://books.toscrape.com/catalogue/../tipping-the-velvet_999/index.html,Historical Fiction
Forever and Forever: The Courtship of Henry Longfellow and Fanny Appleton,55,3,29.69,5,http://books.toscrape.com/../media/cache/d6/58/d658a1485b130ff26ca5fb0d5975ed2e.jpg,http://books.toscrape.com/catalogue/../forever-and-forever-the-courtship-of-henry-longfellow-and-fanny-appleton_894/index.html,Historical Fiction
A Flight of Arrows (The Pathfinders #2),56,5,55.53,5,http://books.toscrape.com/../media/cache/82/96/8296f92b70fb1dafefecda92c1d51941.jpg,http://books.toscrape.com/catalogue/../a-flight-of-arrows-the-pathfinders-2_876/index.html,Historical Fiction
The House by the Lake,57,1,36.95,5,http://books.toscrape.com/../media/cache/0d/cb/0dcb33d60b0e79adf8ab9842e697ea2e.jpg,http://books.toscrape.com/catalogue/../the-house-by-the-lake_846/index.html,Historical Fiction
Mrs. Houdini,58,5,30.25,5,http://books.toscrape.com/../media/cache/0e/fe/0efe86960cdff718aed01a5c3f65b1c3.jpg,http://books.toscrape.com/catalogue/../mrs-houdini_821/index.html,Historical Fiction
The Marriage of Opposites,59,4,28.08,5,http://books.toscrape.com/../media/cache/0f/c2/0fc21ec3489cb23116778ee84f425eca.jpg,http://books.toscrape.com/catalogue/../the-marriage-of-opposites_759/index.html,Historical Fiction
Glory over Everything: Beyond The Kitchen House,60,3,45.84,5,http://books.toscrape.com/../media/cache/96/41/964194a317f8ce5ed031bf4c9ceb43ab.jpg,http://books.toscrape.com/catalogue/../glory-over-everything-beyond-the-kitchen-house_696/index.html,Historical Fiction
"Love, Lies and Spies",61,2,20.55,5,http://books.toscrape.com/../media/cache/7a/22/7a224a6e174af91950e9b124afe54e0e.jpg,http://books.toscrape.com/catalogue/../love-lies-and-spies_622/index.html,Historical Fiction
A Paris Apartment,62,4,39.01,5,http://books.toscrape.com/../media/cache/16/57/16575316618bd7e922d5b0e0f87de2ca.jpg,http://books.toscrape.com/catalogue/../a-paris-apartment_612/index.html,Historical Fiction
Lilac Girls,63,2,17.28,5,http://books.toscrape.com/../media/cache/6c/2e/6c2e764e3ea89859b52df8de4f12af7a.jpg,http://books.toscrape.com/catalogue/../lilac-girls_597/index.html,Historical Fiction
The Constant Princess (The Tudor Court #1),64,3,16.62,5,http://books.toscrape.com/../media/cache/fc/80/fc80b999ff4b8ef24b7071f62d2bf6d1.jpg,http://books.toscrape.com/catalogue/../the-constant-princess-the-tudor-court-1_493/index.html,Historical Fiction
The Invention of Wings,65,1,37.34,5,http://books.toscrape.com/../media/cache/62/fa/62fa1e72f06f05762db5d9cedf654153.jpg,http://books.toscrape.com/catalogue/../the-invention-of-wings_448/index.html,Historical Fiction
World Without End (The Pillars of the Earth #2),66,4,32.97,5,http://books.toscrape.com/../media/cache/be/7c/be7ce6fbc9a8e1a5a5b5c32e73cfd78a.jpg,http://books.toscrape.com/catalogue/../world-without-end-the-pillars-of-the-earth-2_420/index.html,Historical Fiction
The Passion of Dolssa,67,5,28.32,5,http://books.toscrape.com/../media/cache/6b/82/6b822681c4035131560d40dd3b5a6a2e.jpg,http://books.toscrape.com/catalogue/../the-passion-of-dolssa_351/index.html,Historical Fiction
Girl With a Pearl Earring,68,1,26.77,5,http://books.toscrape.com/../media/cache/b7/ad/b7ad37d93d8401c84d7325aa645ff6d5.jpg,http://books.toscrape.com/catalogue/../girl-with-a-pearl-earring_322/index.html,Historical Fiction
Voyager (Outlander #3),69,5,21.07,5,http://books.toscrape.com/../media/cache/b5/d8/b5d813da01f2ccd7bcfe34e2b875e752.jpg,http://books.toscrape.com/catalogue/../voyager-outlander-3_299/index.html,Historical Fiction
The Red Tent,70,5,35.66,5,http://books.toscrape.com/../media/cache/b2/8f/b28f211e50e74445ca071d4279d1080d.jpg,http://books.toscrape.com/catalogue/../the-red-tent_273/index.html,Historical Fiction
The Last Painting of Sara de Vos,71,2,55.55,5,http://books.toscrape.com/../media/cache/bf/fd/bffd473ab232c5f35e8c81bb927f1624.jpg,http://books.toscrape.com/catalogue/../the-last-painting-of-sara-de-vos_259/index.html,Historical Fiction
The Guernsey Literary and Potato Peel Pie Society,72,1,49.53,5,http://books.toscrape.com/../media/cache/18/f7/18f7bf6366cd7a8b947fd790d808047b.jpg,http://books.toscrape.com/catalogue/../the-guernsey-literary-and-potato-peel-pie-society_253/index.html,Historical Fiction
Girl in the Blue Coat,73,2,46.83,5,http://books.toscrape.com/../media/cache/bf/7a/bf7a5bc1d1ebac5e9b6fbb147828a123.jpg,http://books.toscrape.com/catalogue/../girl-in-the-blue-coat_160/index.html,Historical Fiction
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),74,5,52.29,5,http://books.toscrape.com/../media/cache/94/b1/94b1b8b244bce9677c2f29ccc890d4d2.jpg,http://books.toscrape.com/catalogue/../scott-pilgrims-precious-little-life-scott-pilgrim-1_987/index.html,Sequential Art
Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2),75,1,16.28,5,http://books.toscrape.com/../media/cache/36/df/36df4caaf1420b1183a8235355d39e69.jpg,http://books.toscrape.com/catalogue/../tsubasa-world-chronicle-2-tsubasa-world-chronicle-2_949/index.html,Sequential Art
This One Summer,76,4,19.49,5,http://books.toscrape.com/../media/cache/c4/dd/c4ddd9ced89966b0602ec85e00cd5b61.jpg,http://books.toscrape.com/catalogue/../this-one-summer_947/index.html,Sequential Art
The Nameless City (The Nameless City #1),77,4,38.16,5,http://books.toscrape.com/../media/cache/f4/79/f479de5f305c2ac0512702cf7155bb74.jpg,http://books.toscrape.com/catalogue/../the-nameless-city-the-nameless-city-1_940/index.html,Sequential Art
"Saga, Volume 5 (Saga (Collected Editions) #5)",78,2,51.04,5,http://books.toscrape.com/../media/cache/e1/ea/e1ea6cb36e62ae6dc7b805f68ab9a700.jpg,http://books.toscrape.com/catalogue/../saga-volume-5-saga-collected-editions-5_923/index.html,Sequential Art
"Rat Queens, Vol. 3: Demons (Rat Queens (Collected Editions) #11-15)",79,3,50.4,5,http://books.toscrape.com/../media/cache/f3/ef/f3efd43ae0fa85d9b325d5e8783e7af5.jpg,http://books.toscrape.com/catalogue/../rat-queens-vol-3-demons-rat-queens-collected-editions-11-15_921/index.html,Sequential Art
"Princess Jellyfish 2-in-1 Omnibus, Vol. 01 (Princess Jellyfish 2-in-1 Omnibus #1)",80,5,13.61,5,http://books.toscrape.com/../media/cache/78/0b/780b2c28122750c2c383846155815bf7.jpg,http://books.toscrape.com/catalogue/../princess-jellyfish-2-in-1-omnibus-vol-01-princess-jellyfish-2-in-1-omnibus-1_920/index.html,Sequential Art
"Pop Gun War, Volume 1: Gift",81,1,18.97,5,http://books.toscrape.com/../media/cache/c8/2f/c82f629a31b3f47bdb17ac14aa51076d.jpg,http://books.toscrape.com/catalogue/../pop-gun-war-volume-1-gift_918/index.html,Sequential Art
Patience,82,3,10.16,5,http://books.toscrape.com/../media/cache/01/72/01726c619a05114dca75bd840095016d.jpg,http://books.toscrape.com/catalogue/../patience_916/index.html,Sequential Art
"Outcast, Vol. 1: A Darkness Surrounds Him (Outcast #1)",83,4,15.44,5,http://books.toscrape.com/../media/cache/cb/00/cb004189f548d75ad430d3ed19e6daa9.jpg,http://books.toscrape.com/catalogue/../outcast-vol-1-a-darkness-surrounds-him-outcast-1_915/index.html,Sequential Art
orange: The Complete Collection 1 (orange: The Complete Collection #1),84,1,48.41,5,http://books.toscrape.com/../media/cache/03/88/03886a8502ca54dbce0d91c2568ab69d.jpg,http://books.toscrape.com/catalogue/../orange-the-complete-collection-1-orange-the-complete-collection-1_914/index.html,Sequential Art
"Lumberjanes, Vol. 2: Friendship to the Max (Lumberjanes #5-8)",85,2,46.91,5,http://books.toscrape.com/../media/cache/d3/15/d3158e8d3546fb90cced3c1d44a92a34.jpg,http://books.toscrape.com/catalogue/../lumberjanes-vol-2-friendship-to-the-max-lumberjanes-5-8_907/index.html,Sequential Art
"Lumberjanes, Vol. 1: Beware the Kitten Holy (Lumberjanes #1-4)",86,3,45.61,5,http://books.toscrape.com/../media/cache/7e/a0/7ea062007ef00107e3c16d336b41fab2.jpg,http://books.toscrape.com/catalogue/../lumberjanes-vol-1-beware-the-kitten-holy-lumberjanes-1-4_906/index.html,Sequential Art
Lumberjanes Vol. 3: A Terrible Plan (Lumberjanes #9-12),87,2,19.92,5,http://books.toscrape.com/../media/cache/5f/b1/5fb1bf88dcfda795606745ce35be5975.jpg,http://books.toscrape.com/catalogue/../lumberjanes-vol-3-a-terrible-plan-lumberjanes-9-12_905/index.html,Sequential Art
"I Hate Fairyland, Vol. 1: Madly Ever After (I Hate Fairyland (Compilations) #1-5)",88,2,29.17,5,http://books.toscrape.com/../media/cache/aa/74/aa74004807e97a79aa084b5db329a99b.jpg,http://books.toscrape.com/catalogue/../i-hate-fairyland-vol-1-madly-ever-after-i-hate-fairyland-compilations-1-5_899/index.html,Sequential Art
I am a Hero Omnibus Volume 1,89,3,54.63,5,http://books.toscrape.com/../media/cache/16/d4/16d443437126bf6d536a89312c1995a5.jpg,http://books.toscrape.com/catalogue/../i-am-a-hero-omnibus-volume-1_898/index.html,Sequential Art
"Giant Days, Vol. 2 (Giant Days #5-8)",90,2,22.11,5,http://books.toscrape.com/../media/cache/90/6f/906f0168b0e155a7077625499b1737b5.jpg,http://books.toscrape.com/catalogue/../giant-days-vol-2-giant-days-5-8_895/index.html,Sequential Art
Danganronpa Volume 1,91,4,51.99,5,http://books.toscrape.com/../media/cache/78/97/7897eea91c4a85aca58d925861d4afec.jpg,http://books.toscrape.com/catalogue/../danganronpa-volume-1_889/index.html,Sequential Art
"Codename Baboushka, Volume 1: The Conclave of Death",92,4,36.72,5,http://books.toscrape.com/../media/cache/f6/88/f688a9d6a89fdf38e4e88439ee9eda69.jpg,http://books.toscrape.com/catalogue/../codename-baboushka-volume-1-the-conclave-of-death_887/index.html,Sequential Art
Camp Midnight,93,4,17.08,5,http://books.toscrape.com/../media/cache/dd/c9/ddc95df6754df8e71bf969c088056188.jpg,http://books.toscrape.com/catalogue/../camp-midnight_886/index.html,Sequential Art
The Secret Garden,94,4,15.08,5,http://books.toscrape.com/../media/cache/c5/46/c5465a06182ed6ebfa40d049258a2f58.jpg,http://books.toscrape.com/catalogue/../the-secret-garden_413/index.html,Classics
The Metamorphosis,95,1,28.58,5,http://books.toscrape.com/../media/cache/4a/1b/4a1b6e9c1af75db0dc34ae63344f6883.jpg,http://books.toscrape.com/catalogue/../the-metamorphosis_409/index.html,Classics
The Pilgrim's Progress,96,2,50.26,5,http://books.toscrape.com/../media/cache/45/bb/45bb59d19eb3aa868293d44809078418.jpg,http://books.toscrape.com/catalogue/../the-pilgrims-progress_353/index.html,Classics
The Hound of the Baskervilles (Sherlock Holmes #5),97,2,14.82,5,http://books.toscrape.com/../media/cache/1f/b0/1fb03cdabe6001c8a2620f65e025cbd5.jpg,http://books.toscrape.com/catalogue/../the-hound-of-the-baskervilles-sherlock-holmes-5_348/index.html,Classics
Little Women (Little Women #1),98,4,28.07,5,http://books.toscrape.com/../media/cache/81/f5/81f559ebe403317226fa8b611e35ce8a.jpg,http://books.toscrape.com/catalogue/../little-women-little-women-1_331/index.html,Classics
Gone with the Wind,99,3,32.49,5,http://books.toscrape.com/../media/cache/27/82/2782701b5c877cb063065b9fc14c5b13.jpg,http://books.toscrape.com/catalogue/../gone-with-the-wind_324/index.html,Classics
Candide,100,3,58.63,5,http://books.toscrape.com/../media/cache/e3/c4/e3c4aba2409bb769a6488805e3fc4709.jpg,http://books.toscrape.com/catalogue/../candide_316/index.html,Classics
Animal Farm,101,3,57.22,5,http://books.toscrape.com/../media/cache/10/db/10db56354b4550d92270c6f097d9bebc.jpg,http://books.toscrape.com/catalogue/../animal-farm_313/index.html,Classics
Wuthering Heights,102,3,17.73,5,http://books.toscrape.com/../media/cache/93/4e/934e966c1ddf559d3ac2b5c1407aaf1e.jpg,http://books.toscrape.com/catalogue/../wuthering-heights_307/index.html,Classics
The Picture of Dorian Gray,103,2,29.7,5,http://books.toscrape.com/../media/cache/a6/72/a67245346daa38c2b23a4fc64c6e7115.jpg,http://books.toscrape.com/catalogue/../the-picture-of-dorian-gray_270/index.html,Classics
The Complete Stories and Poems (The Works of Edgar Allan Poe [Cameo Edition]),104,4,26.78,5,http://books.toscrape.com/../media/cache/42/c4/42c48f11b7e70a0f76c5ba9cb5c5018a.jpg,http://books.toscrape.com/catalogue/../the-complete-stories-and-poems-the-works-of-edgar-allan-poe-cameo-edition_238/index.html,Classics
Beowulf,105,2,38.35,5,http://books.toscrape.com/../media/cache/dd/6e/dd6e7b84e99f3b4b5655ea0db74af2b4.jpg,http://books.toscrape.com/catalogue/../beowulf_126/index.html,Classics
And Then There Were None,106,2,35.01,5,http://books.toscrape.com/../media/cache/21/bf/21bf2eb0bff3134837def8bd40845ba0.jpg,http://books.toscrape.com/catalogue/../and-then-there-were-none_119/index.html,Classics
The Story of Hong Gildong,107,4,43.19,5,http://books.toscrape.com/../media/cache/ab/16/ab16eb035cc58809a73c4699477de9cb.jpg,http://books.toscrape.com/catalogue/../the-story-of-hong-gildong_84/index.html,Classics
The Little Prince,108,2,45.42,5,http://books.toscrape.com/../media/cache/c0/78/c078355608dd81c7c5e4f5e1c5f73d23.jpg,http://books.toscrape.com/catalogue/../the-little-prince_72/index.html,Classics
Sense and Sensibility,109,1,37.46,5,http://books.toscrape.com/../media/cache/7d/53/7d53e2264b9647ee307259be9f73585d.jpg,http://books.toscrape.com/catalogue/../sense-and-sensibility_49/index.html,Classics
Of Mice and Men,110,2,47.11,5,http://books.toscrape.com/../media/cache/0f/ca/0fca4597765ffacdb7bd529fc5eb88fa.jpg,http://books.toscrape.com/catalogue/../of-mice-and-men_37/index.html,Classics
Emma,111,2,32.93,5,http://books.toscrape.com/../media/cache/09/63/09638baaef52f03827c215029c632a13.jpg,http://books.toscrape.com/catalogue/../emma_17/index.html,Classics
Alice in Wonderland (Alice's Adventures in Wonderland #1),112,1,55.53,5,http://books.toscrape.com/../media/cache/96/ee/96ee77d71a31b7694dac6855f6affe4e.jpg,http://books.toscrape.com/catalogue/../alice-in-wonderland-alices-adventures-in-wonderland-1_5/index.html,Classics
Sophie's World,113,5,15.94,5,http://books.toscrape.com/../media/cache/65/71/6571919836ec51ed54f0050c31d8a0cd.jpg,http://books.toscrape.com/catalogue/../sophies-world_966/index.html,Philosophy
The Death of Humanity: and the Case for Life,114,4,58.11,5,http://books.toscrape.com/../media/cache/71/df/71df730cf38c232ee58a2e407135f055.jpg,http://books.toscrape.com/catalogue/../the-death-of-humanity-and-the-case-for-life_932/index.html,Philosophy
The Stranger,115,4,17.44,5,http://books.toscrape.com/../media/cache/ea/04/ea0476a6f4c318ceccf5e2f2b39f2b15.jpg,http://books.toscrape.com/catalogue/../the-stranger_861/index.html,Philosophy
Proofs of God: Classical Arguments from Tertullian to Barth,116,1,54.21,5,http://books.toscrape.com/../media/cache/3f/ef/3fef12d9da503693af12997c0ea0897f.jpg,http://books.toscrape.com/catalogue/../proofs-of-god-classical-arguments-from-tertullian-to-barth_538/index.html,Philosophy
Kierkegaard: A Christian Missionary to Christians,117,1,47.13,5,http://books.toscrape.com/../media/cache/05/ce/05ce699eaf78c0fae20308497c4f496a.jpg,http://books.toscrape.com/catalogue/../kierkegaard-a-christian-missionary-to-christians_527/index.html,Philosophy
"At The Existentialist Café: Freedom, Being, and apricot cocktails with: Jean-Paul Sartre, Simone de Beauvoir, Albert Camus, Martin Heidegger, Edmund Husserl, Karl Jaspers, Maurice Merleau-Ponty and others",118,5,29.93,5,http://books.toscrape.com/../media/cache/de/76/de76d5c473c358bd41c03cf710692bfb.jpg,http://books.toscrape.com/catalogue/../at-the-existentialist-cafe-freedom-being-and-apricot-cocktails-with-jean-paul-sartre-simone-de-beauvoir-albert-camus-martin-heidegger-edmund-husserl-karl-jaspers-maurice-merleau-ponty-and-others_459/index.html,Philosophy
Critique of Pure Reason,119,1,20.75,5,http://books.toscrape.com/../media/cache/12/6e/126ef8f6473b81808ebbb9cff155e883.jpg,http://books.toscrape.com/catalogue/../critique-of-pure-reason_366/index.html,Philosophy
"Run, Spot, Run: The Ethics of Keeping Pets",120,1,20.02,5,http://books.toscrape.com/../media/cache/91/e6/91e6190dcdd7d6cdeb94a82b60917ec4.jpg,http://books.toscrape.com/catalogue/../run-spot-run-the-ethics-of-keeping-pets_106/index.html,Philosophy
The Nicomachean Ethics,121,1,36.34,5,http://books.toscrape.com/../media/cache/f0/aa/f0aa9ae0319b1d6e0706e6053020e696.jpg,http://books.toscrape.com/catalogue/../the-nicomachean-ethics_75/index.html,Philosophy
Meditations,122,2,25.89,5,http://books.toscrape.com/../media/cache/df/c9/dfc9ed72e963572d23233b3a8cb01676.jpg,http://books.toscrape.com/catalogue/../meditations_33/index.html,Philosophy
Beyond Good and Evil,123,1,43.38,5,http://books.toscrape.com/../media/cache/ab/45/ab45f300aa15066ad1260d6f1398d03e.jpg,http://books.toscrape.com/catalogue/../beyond-good-and-evil_6/index.html,Philosophy
Chase Me (Paris Nights #2),124,5,25.27,5,http://books.toscrape.com/../media/cache/9c/2e/9c2e0eb8866b8e3f3b768994fd3d1c1a.jpg,http://books.toscrape.com/catalogue/../chase-me-paris-nights-2_977/index.html,Romance
Black Dust,125,5,34.53,5,http://books.toscrape.com/../media/cache/44/cc/44ccc99c8f82c33d4f9d2afa4ef25787.jpg,http://books.toscrape.com/catalogue/../black-dust_976/index.html,Romance
Her Backup Boyfriend (The Sorensen Family #1),126,1,33.97,5,http://books.toscrape.com/../media/cache/1e/bb/1ebbbc3e2d3249b111033cfc40763b0b.jpg,http://books.toscrape.com/catalogue/../her-backup-boyfriend-the-sorensen-family-1_896/index.html,Romance
First and First (Five Boroughs #3),127,4,15.97,5,http://books.toscrape.com/../media/cache/c4/d1/c4d1517cc9370e292366b6132ca9ca36.jpg,http://books.toscrape.com/catalogue/../first-and-first-five-boroughs-3_893/index.html,Romance
Fifty Shades Darker (Fifty Shades #2),128,1,21.96,5,http://books.toscrape.com/../media/cache/cc/bd/ccbdae9e29b3594301528fa2c876ec29.jpg,http://books.toscrape.com/catalogue/../fifty-shades-darker-fifty-shades-2_892/index.html,Romance
The Wedding Dress,129,1,24.12,5,http://books.toscrape.com/../media/cache/28/99/28992d89f4abf54fba183fc8d074adf3.jpg,http://books.toscrape.com/catalogue/../the-wedding-dress_864/index.html,Romance
Suddenly in Love (Lake Haven #1),130,2,55.99,5,http://books.toscrape.com/../media/cache/e9/f4/e9f4bc8cf5ffaea1504623c936e90a48.jpg,http://books.toscrape.com/catalogue/../suddenly-in-love-lake-haven-1_835/index.html,Romance
Something More Than This,131,4,16.24,5,http://books.toscrape.com/../media/cache/59/10/5910fbd8a95e8e9de9c660b71e0694e2.jpg,http://books.toscrape.com/catalogue/../something-more-than-this_834/index.html,Romance
Doing It Over (Most Likely To #1),132,3,35.61,5,http://books.toscrape.com/../media/cache/e9/25/e9250495a525eb203652ad9da85ccb8e.jpg,http://books.toscrape.com/catalogue/../doing-it-over-most-likely-to-1_802/index.html,Romance
The Wedding Pact (The O'Malleys #2),133,3,32.61,5,http://books.toscrape.com/../media/cache/7e/67/7e67addd80caaf8a9f9e9daa9cf66bb2.jpg,http://books.toscrape.com/catalogue/../the-wedding-pact-the-omalleys-2_767/index.html,Romance
Hold Your Breath (Search and Rescue #1),134,1,28.82,5,http://books.toscrape.com/../media/cache/0b/89/0b89c3b317d0f89da48356a0b5959c1e.jpg,http://books.toscrape.com/catalogue/../hold-your-breath-search-and-rescue-1_700/index.html,Romance
Dirty (Dive Bar #1),135,4,40.83,5,http://books.toscrape.com/../media/cache/ae/90/ae903f6f6d059954be4e85497dd76bf5.jpg,http://books.toscrape.com/catalogue/../dirty-dive-bar-1_615/index.html,Romance
